problem,algorithm,n_qaoa_layers,n_qubits,noise_level,performance
Max-cut,QAOA,1,9,2.0,0.7683185510549548
Max-cut,QAOA,1,9,3.0,0.7382342371216589
Max-cut,QAOA,1,9,4.0,0.6745981820080531
Max-cut,QAOA,2,9,0.0,0.8559352416664774
Max-cut,QAOA,2,9,1.0,0.7991770915902139
Max-cut,QAOA,2,9,2.0,0.7331238550828013
Max-cut,QAOA,2,9,3.0,0.6862661665162558
Max-cut,QAOA,2,9,4.0,0.651012644562669
Max-cut,QAOA,3,9,0.0,0.8861306713198208
Max-cut,QAOA,3,9,1.0,0.7814053151260496
Max-cut,QAOA,3,9,2.0,0.6831250411426892
Max-cut,QAOA,3,9,3.0,0.6442792713718681
Max-cut,QAOA,3,9,4.0,0.6243304116555568
Max-cut,QAOA,1,10,0.0,0.8163908910556608
Max-cut,QAOA,1,10,1.0,0.7914239304200025
Max-cut,QAOA,1,10,2.0,0.7706037855775795
Max-cut,QAOA,1,10,3.0,0.7362657186154168
Max-cut,QAOA,1,10,4.0,0.6765517084146583
Max-cut,QAOA,2,10,0.0,0.8566223534462318
Max-cut,QAOA,2,10,1.0,0.7986540083619589
Max-cut,QAOA,2,10,2.0,0.730577165985264
Max-cut,QAOA,2,10,3.0,0.6807796730176803
Max-cut,QAOA,2,10,4.0,0.6534467991739157
Max-cut,QAOA,3,10,0.0,0.883494969315677
Max-cut,QAOA,3,10,1.0,0.7795162232075686
Max-cut,QAOA,3,10,2.0,0.6850755368741401
Max-cut,QAOA,3,10,3.0,0.6475679184215711
Max-cut,QAOA,3,10,4.0,0.628307301410091
Max-cut,RQAOA,1,5,0.0,0.983616666666667
Max-cut,RQAOA,1,5,1.0,0.9861000000000001
Max-cut,RQAOA,1,5,2.0,0.9860333333333334
Max-cut,RQAOA,1,5,3.0,0.9777000000000002
Max-cut,RQAOA,1,5,4.0,0.9725666666666669
Max-cut,RQAOA,2,5,0.0,0.9946
Max-cut,RQAOA,2,5,1.0,0.9915
Max-cut,RQAOA,2,5,2.0,0.9872666666666666
Max-cut,RQAOA,2,5,3.0,0.9756333333333338
Max-cut,RQAOA,2,5,4.0,0.9496333333333332
Max-cut,RQAOA,3,5,0.0,0.9968500000000001
Max-cut,RQAOA,3,5,1.0,0.9911666666666668
Max-cut,RQAOA,3,5,2.0,0.9862666666666668
Max-cut,RQAOA,3,5,3.0,0.9608000000000003
Max-cut,RQAOA,3,5,4.0,0.9016000000000001
Max-cut,RQAOA,1,6,0.0,0.9803392857142859
Max-cut,RQAOA,1,6,1.0,0.9743865079365083
Max-cut,RQAOA,1,6,2.0,0.9739412698412699
Max-cut,RQAOA,1,6,3.0,0.9710301587301586
Max-cut,RQAOA,1,6,4.0,0.95005
Max-cut,RQAOA,2,6,0.0,0.9901464285714284
Max-cut,RQAOA,2,6,1.0,0.9874261904761903
Max-cut,RQAOA,2,6,2.0,0.982936507936508
Max-cut,RQAOA,2,6,3.0,0.9518761904761905
Max-cut,RQAOA,2,6,4.0,0.925046031746032
Max-cut,RQAOA,3,6,0.0,0.9933730158730159
Max-cut,RQAOA,3,6,1.0,0.9883841269841271
Max-cut,RQAOA,3,6,2.0,0.9684111111111108
Max-cut,RQAOA,3,6,3.0,0.9314119047619042
Max-cut,RQAOA,3,6,4.0,0.8459388888888885
Max-cut,RQAOA,1,7,0.0,0.9810088744588742
Max-cut,RQAOA,1,7,1.0,0.9752414141414143
Max-cut,RQAOA,1,7,2.0,0.9786891053391051
Max-cut,RQAOA,1,7,3.0,0.9671602453102451
Max-cut,RQAOA,1,7,4.0,0.9424823232323236
Max-cut,RQAOA,2,7,0.0,0.9919284271284273
Max-cut,RQAOA,2,7,1.0,0.9823977633477631
Max-cut,RQAOA,2,7,2.0,0.973500144300144
Max-cut,RQAOA,2,7,3.0,0.9453295093795091
Max-cut,RQAOA,2,7,4.0,0.9112121933621933
Max-cut,RQAOA,3,7,0.0,0.9956005772005773
Max-cut,RQAOA,3,7,1.0,0.986165945165945
Max-cut,RQAOA,3,7,2.0,0.9618939393939392
Max-cut,RQAOA,3,7,3.0,0.9025921356421348
Max-cut,RQAOA,3,7,4.0,0.8340294372294369
Max-cut,RQAOA,1,8,0.0,0.9756511238761234
Max-cut,RQAOA,1,8,1.0,0.9685677433677435
Max-cut,RQAOA,1,8,2.0,0.9665472138972142
Max-cut,RQAOA,1,8,3.0,0.9548632256632261
Max-cut,RQAOA,1,8,4.0,0.9089898046398046
Max-cut,RQAOA,2,8,0.0,0.9884676795426786
Max-cut,RQAOA,2,8,1.0,0.9794335109335112
Max-cut,RQAOA,2,8,2.0,0.9624910644910648
Max-cut,RQAOA,2,8,3.0,0.9285009268509269
Max-cut,RQAOA,2,8,4.0,0.8736462481962479
Max-cut,RQAOA,3,8,0.0,0.993308921633921
Max-cut,RQAOA,3,8,1.0,0.9846372516372519
Max-cut,RQAOA,3,8,2.0,0.9231786435786442
Max-cut,RQAOA,3,8,3.0,0.871217848817849
Max-cut,RQAOA,3,8,4.0,0.8052562992562996
Max-cut,RQAOA,1,9,0.0,0.96738686395304
Max-cut,RQAOA,1,9,1.0,0.9620938437379607
Max-cut,RQAOA,1,9,2.0,0.9562015882810002
Max-cut,RQAOA,1,9,3.0,0.9472728870802394
Max-cut,RQAOA,1,9,4.0,0.8863587944735001
Max-cut,RQAOA,2,9,0.0,0.982452961744138
Max-cut,RQAOA,2,9,1.0,0.970423505089681
Max-cut,RQAOA,2,9,2.0,0.9496795067677419
Max-cut,RQAOA,2,9,3.0,0.9053930853460264
Max-cut,RQAOA,2,9,4.0,0.8602619604251954
Max-cut,RQAOA,3,9,0.0,0.9879323237220297
Max-cut,RQAOA,3,9,1.0,0.9740939726939724
Max-cut,RQAOA,3,9,2.0,0.9164614233805409
Max-cut,RQAOA,3,9,3.0,0.8544769095283801
Max-cut,RQAOA,3,9,4.0,0.7919941429485547
Max-cut,RQAOA,1,10,0.0,0.9680190682210805
Max-cut,RQAOA,1,10,1.0,0.9647663612273517
Max-cut,RQAOA,1,10,2.0,0.9521634876217688
Max-cut,RQAOA,1,10,3.0,0.9384924841326543
Max-cut,RQAOA,1,10,4.0,0.867306011257404
Max-cut,RQAOA,2,10,0.0,0.9821072254070322
Max-cut,RQAOA,2,10,1.0,0.9710289724121764
Max-cut,RQAOA,2,10,2.0,0.9430600864907365
Max-cut,RQAOA,2,10,3.0,0.9008906259804863
Max-cut,RQAOA,2,10,4.0,0.8442602895814194
Max-cut,RQAOA,3,10,0.0,0.9878196838721993
Max-cut,RQAOA,3,10,1.0,0.9672620976460757
Max-cut,RQAOA,3,10,2.0,0.893058107467008
Max-cut,RQAOA,3,10,3.0,0.8320906344859129
Max-cut,RQAOA,3,10,4.0,0.780205242555862
Partition,QAOA,1,5,0.0,0.7637366737801318
Partition,QAOA,1,5,1.0,0.7419086396430947
Partition,QAOA,1,5,2.0,0.712517515883348
Partition,QAOA,1,5,3.0,0.6776003344546926
Partition,QAOA,1,5,4.0,0.6365262223534366
Partition,QAOA,2,5,0.0,0.8054550507819358
Partition,QAOA,2,5,1.0,0.7390383584158728
Partition,QAOA,2,5,2.0,0.6627808741007258
Partition,QAOA,2,5,3.0,0.616519777600383
Partition,QAOA,2,5,4.0,0.592176045343715
Partition,QAOA,3,5,0.0,0.8250067812562968
Partition,QAOA,3,5,1.0,0.7265701813119562
Partition,QAOA,3,5,2.0,0.6219844042508536
Partition,QAOA,3,5,3.0,0.5726108018894357
Partition,QAOA,3,5,4.0,0.5511878121184842
Partition,QAOA,1,6,0.0,0.7668224436886991
Partition,QAOA,1,6,1.0,0.7427495709506057
Partition,QAOA,1,6,2.0,0.719820508616063
Partition,QAOA,1,6,3.0,0.6673690712295364
Partition,QAOA,1,6,4.0,0.6341475254927977
Partition,QAOA,2,6,0.0,0.7944601607107609
Partition,QAOA,2,6,1.0,0.736142922077985
Partition,QAOA,2,6,2.0,0.6717707020215328
Partition,QAOA,2,6,3.0,0.6167275021780219
Partition,QAOA,2,6,4.0,0.6092513400553725
Partition,QAOA,3,6,0.0,0.8115688536730383
Partition,QAOA,3,6,1.0,0.7228484241453593
Partition,QAOA,3,6,2.0,0.6185281539099585
Partition,QAOA,3,6,3.0,0.592797162501872
Partition,QAOA,3,6,4.0,0.5908112326223934
Partition,QAOA,1,7,0.0,0.777218406211978
Partition,QAOA,1,7,1.0,0.753797675778621
Partition,QAOA,1,7,2.0,0.734578925083508
Partition,QAOA,1,7,3.0,0.6602065315545809
Partition,QAOA,1,7,4.0,0.6299071479919941
Partition,QAOA,2,7,0.0,0.7971502746890708
Partition,QAOA,2,7,1.0,0.7473543933468594
Partition,QAOA,2,7,2.0,0.6871692727646603
Partition,QAOA,2,7,3.0,0.63180152598459
Partition,QAOA,2,7,4.0,0.6082624653054635
Partition,QAOA,3,7,0.0,0.7855337606252261
Partition,QAOA,3,7,1.0,0.7141024703099049
Partition,QAOA,3,7,2.0,0.645819290714526
Partition,QAOA,3,7,3.0,0.6130835037991296
Partition,QAOA,3,7,4.0,0.5909578203470859
Partition,QAOA,1,8,0.0,0.7930513593028583
Partition,QAOA,1,8,1.0,0.7645999117545087
Partition,QAOA,1,8,2.0,0.744821085802797
Partition,QAOA,1,8,3.0,0.6577568465481443
Partition,QAOA,1,8,4.0,0.6514159415150292
Partition,QAOA,2,8,0.0,0.7838961907027575
Partition,QAOA,2,8,1.0,0.7371427500678897
Partition,QAOA,2,8,2.0,0.7003845256688781
Partition,QAOA,2,8,3.0,0.6443869384794617
Partition,QAOA,2,8,4.0,0.6355792412073824
Partition,QAOA,3,8,0.0,0.7888638621687728
Partition,QAOA,3,8,1.0,0.7208286114433069
Partition,QAOA,3,8,2.0,0.6606036849103858
Partition,QAOA,3,8,3.0,0.6329392249551155
Partition,QAOA,3,8,4.0,0.623554427172758
Partition,QAOA,1,9,0.0,0.7749947456003632
Partition,QAOA,1,9,1.0,0.7507836794680882
Partition,QAOA,1,9,2.0,0.6999559159457782
Partition,QAOA,1,9,3.0,0.6312740134992584
Partition,QAOA,1,9,4.0,0.602851792817114
Partition,QAOA,2,9,0.0,0.7848013040394436
Partition,QAOA,2,9,1.0,0.7097513503730336
Partition,QAOA,2,9,2.0,0.6367129430842524
Partition,QAOA,2,9,3.0,0.5589701282007297
Partition,QAOA,2,9,4.0,0.5189312522841211
Partition,QAOA,3,9,0.0,0.7808677121654608
Partition,QAOA,3,9,1.0,0.6722413629503778
Partition,QAOA,3,9,2.0,0.5843080307888135
Partition,QAOA,3,9,3.0,0.5109778148710812
Partition,QAOA,3,9,4.0,0.4759457095938581
Partition,QAOA,1,10,0.0,0.7966333942686556
Partition,QAOA,1,10,1.0,0.7656168683362217
Partition,QAOA,1,10,2.0,0.7005050688461751
Partition,QAOA,1,10,3.0,0.6493521703745176
Partition,QAOA,1,10,4.0,0.6239110699508263
Partition,QAOA,2,10,0.0,0.7967317200299946
Partition,QAOA,2,10,1.0,0.724871277328881
Partition,QAOA,2,10,2.0,0.6525274987671921
Partition,QAOA,2,10,3.0,0.6023949700042475
Partition,QAOA,2,10,4.0,0.5698924541719802
Partition,QAOA,3,10,0.0,0.7874644001078592
Partition,QAOA,3,10,1.0,0.6844306065943995
Partition,QAOA,3,10,2.0,0.6189871513310035
Partition,QAOA,3,10,3.0,0.5705361458659507
Partition,QAOA,3,10,4.0,0.5419631673290088
Partition,RQAOA,1,5,0.0,0.9179497557924209
Partition,RQAOA,1,5,1.0,0.8974125012461933
Partition,RQAOA,1,5,2.0,0.9092978426401213
Partition,RQAOA,1,5,3.0,0.8849071867430969
Partition,RQAOA,1,5,4.0,0.8884660374622142
Partition,RQAOA,2,5,0.0,0.9216538869785641
Partition,RQAOA,2,5,1.0,0.9152290435940622
Partition,RQAOA,2,5,2.0,0.901939707818058
Partition,RQAOA,2,5,3.0,0.8869671135844318
Partition,RQAOA,2,5,4.0,0.8589646834826236
Partition,RQAOA,3,5,0.0,0.9300220290334944
Partition,RQAOA,3,5,1.0,0.9116230127982107
Partition,RQAOA,3,5,2.0,0.9116163560358851
Partition,RQAOA,3,5,3.0,0.8813834091156696
Partition,RQAOA,3,5,4.0,0.8223665374656628
Partition,RQAOA,1,6,0.0,0.909476290282474
Partition,RQAOA,1,6,1.0,0.8978970799220412
Partition,RQAOA,1,6,2.0,0.8944726240663564
Partition,RQAOA,1,6,3.0,0.8897446641849999
Partition,RQAOA,1,6,4.0,0.8733736914837352
Partition,RQAOA,2,6,0.0,0.9163551168178428
Partition,RQAOA,2,6,1.0,0.9106798875269593
Partition,RQAOA,2,6,2.0,0.8971649692086752
Partition,RQAOA,2,6,3.0,0.8783691079820237
Partition,RQAOA,2,6,4.0,0.8486957640435694
Partition,RQAOA,3,6,0.0,0.9115330265772544
Partition,RQAOA,3,6,1.0,0.9057762181615726
Partition,RQAOA,3,6,2.0,0.8892607442386354
Partition,RQAOA,3,6,3.0,0.8578111364684693
Partition,RQAOA,3,6,4.0,0.8032262731963953
Partition,RQAOA,1,7,0.0,0.9045991210474941
Partition,RQAOA,1,7,1.0,0.9099821515524507
Partition,RQAOA,1,7,2.0,0.9071728840230425
Partition,RQAOA,1,7,3.0,0.8864388501161425
Partition,RQAOA,1,7,4.0,0.865237180266475
Partition,RQAOA,2,7,0.0,0.91763914522011
Partition,RQAOA,2,7,1.0,0.9168311776986618
Partition,RQAOA,2,7,2.0,0.9021341788582883
Partition,RQAOA,2,7,3.0,0.8732146771725128
Partition,RQAOA,2,7,4.0,0.8446048960846436
Partition,RQAOA,3,7,0.0,0.9204528256018619
Partition,RQAOA,3,7,1.0,0.9165014651338285
Partition,RQAOA,3,7,2.0,0.8898901559512344
Partition,RQAOA,3,7,3.0,0.8520224266685297
Partition,RQAOA,3,7,4.0,0.7998718881022425
Partition,RQAOA,1,8,0.0,0.906798985513895
Partition,RQAOA,1,8,1.0,0.9104024196162175
Partition,RQAOA,1,8,2.0,0.9080577039984903
Partition,RQAOA,1,8,3.0,0.8892087945464742
Partition,RQAOA,1,8,4.0,0.8657335517889031
Partition,RQAOA,2,8,0.0,0.9217407671374773
Partition,RQAOA,2,8,1.0,0.9170375549160872
Partition,RQAOA,2,8,2.0,0.9008911281764665
Partition,RQAOA,2,8,3.0,0.8775831857263001
Partition,RQAOA,2,8,4.0,0.8496300336457634
Partition,RQAOA,3,8,0.0,0.9254713278608623
Partition,RQAOA,3,8,1.0,0.9221618451987236
Partition,RQAOA,3,8,2.0,0.8889272098296643
Partition,RQAOA,3,8,3.0,0.8656140480784055
Partition,RQAOA,3,8,4.0,0.8033135000324424
Partition,RQAOA,1,9,0.0,0.9142124588238019
Partition,RQAOA,1,9,1.0,0.9156762370236406
Partition,RQAOA,1,9,2.0,0.909180857453546
Partition,RQAOA,1,9,3.0,0.8944910373081255
Partition,RQAOA,1,9,4.0,0.8652697887638077
Partition,RQAOA,2,9,0.0,0.930093078664418
Partition,RQAOA,2,9,1.0,0.9240080918909642
Partition,RQAOA,2,9,2.0,0.8977363418351157
Partition,RQAOA,2,9,3.0,0.8851049877844821
Partition,RQAOA,2,9,4.0,0.8469344852087225
Partition,RQAOA,3,9,0.0,0.9153969961582866
Partition,RQAOA,3,9,1.0,0.9110295686573072
Partition,RQAOA,3,9,2.0,0.8856629337755421
Partition,RQAOA,3,9,3.0,0.8702395767469543
Partition,RQAOA,3,9,4.0,0.8092852321347391
Partition,RQAOA,1,10,0.0,0.9154354827884693
Partition,RQAOA,1,10,1.0,0.9236627611306352
Partition,RQAOA,1,10,2.0,0.9130054648746372
Partition,RQAOA,1,10,3.0,0.885024003940108
Partition,RQAOA,1,10,4.0,0.8647602394130712
Partition,RQAOA,2,10,0.0,0.9209645744583819
Partition,RQAOA,2,10,1.0,0.9112367739689011
Partition,RQAOA,2,10,2.0,0.9035783768033735
Partition,RQAOA,2,10,3.0,0.8796607740605793
Partition,RQAOA,2,10,4.0,0.8361950066153143
Partition,RQAOA,3,10,0.0,0.9274748355734501
Partition,RQAOA,3,10,1.0,0.928019191674453
Partition,RQAOA,3,10,2.0,0.8953092515037998
Partition,RQAOA,3,10,3.0,0.851295330284882
Partition,RQAOA,3,10,4.0,0.8130733321306285
